year,month,week,hour,day,SHIFT,OFFENSE,METHOD,DISTRICT
2011,1,1,6,0,MIDNIGHT,SEX ABUSE,OTHERS,6
2011,1,1,17,0,EVENING,SEX ABUSE,OTHERS,5
2011,1,1,19,0,EVENING,SEX ABUSE,GUN,6
2011,1,2,0,1,MIDNIGHT,HOMICIDE,GUN,7
2011,1,2,0,1,MIDNIGHT,HOMICIDE,GUN,4
2011,1,2,6,1,MIDNIGHT,SEX ABUSE,KNIFE,1
2011,1,2,0,5,MIDNIGHT,HOMICIDE,GUN,6
2011,1,2,11,6,DAY,SEX ABUSE,OTHERS,1
2011,1,2,0,7,MIDNIGHT,HOMICIDE,GUN,6
2011,1,3,0,9,MIDNIGHT,HOMICIDE,OTHERS,6
2011,1,3,1,14,MIDNIGHT,SEX ABUSE,OTHERS,2
2011,1,4,20,17,EVENING,SEX ABUSE,OTHERS,7
2011,1,4,0,19,MIDNIGHT,HOMICIDE,GUN,5
2011,1,4,2,19,MIDNIGHT,SEX ABUSE,OTHERS,6
2011,1,4,13,19,DAY,SEX ABUSE,OTHERS,5
2011,1,4,0,20,MIDNIGHT,HOMICIDE,OTHERS,7
2011,1,4,11,20,DAY,SEX ABUSE,OTHERS,2
2011,1,5,0,22,MIDNIGHT,HOMICIDE,GUN,4
2011,1,5,0,22,MIDNIGHT,HOMICIDE,GUN,4
2011,1,5,20,27,EVENING,SEX ABUSE,OTHERS,7
2011,1,5,15,28,EVENING,SEX ABUSE,OTHERS,6
2011,1,6,19,30,EVENING,SEX ABUSE,OTHERS,1
2011,1,6,21,30,EVENING,SEX ABUSE,KNIFE,6
2011,2,6,0,35,MIDNIGHT,HOMICIDE,GUN,4
2011,2,6,3,35,MIDNIGHT,SEX ABUSE,OTHERS,3
2011,2,7,3,36,MIDNIGHT,SEX ABUSE,OTHERS,5
2011,2,7,0,41,MIDNIGHT,HOMICIDE,KNIFE,3
2011,2,7,6,42,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,2,8,19,46,EVENING,SEX ABUSE,OTHERS,2
2011,2,8,0,47,MIDNIGHT,SEX ABUSE,OTHERS,1
2011,2,8,0,47,MIDNIGHT,HOMICIDE,GUN,5
2011,2,8,0,49,MIDNIGHT,HOMICIDE,GUN,3
2011,2,9,0,51,MIDNIGHT,HOMICIDE,GUN,5
2011,2,9,12,52,DAY,SEX ABUSE,OTHERS,5
2011,2,9,16,53,EVENING,SEX ABUSE,OTHERS,5
2011,2,9,0,55,MIDNIGHT,HOMICIDE,GUN,7
2011,2,9,21,55,EVENING,SEX ABUSE,OTHERS,4
2011,2,9,0,56,MIDNIGHT,SEX ABUSE,OTHERS,5
2011,2,9,8,56,DAY,SEX ABUSE,OTHERS,3
2011,3,10,0,59,MIDNIGHT,SEX ABUSE,OTHERS,1
2011,3,10,0,60,MIDNIGHT,SEX ABUSE,OTHERS,4
2011,3,10,13,62,DAY,SEX ABUSE,OTHERS,4
2011,3,10,0,63,MIDNIGHT,HOMICIDE,GUN,7
2011,3,10,0,63,MIDNIGHT,HOMICIDE,GUN,6
2011,3,10,0,63,MIDNIGHT,HOMICIDE,KNIFE,6
2011,3,11,6,70,MIDNIGHT,SEX ABUSE,OTHERS,3
2011,3,12,7,72,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,3,12,15,73,DAY,SEX ABUSE,OTHERS,6
2011,3,12,0,74,MIDNIGHT,HOMICIDE,GUN,7
2011,3,13,0,78,MIDNIGHT,HOMICIDE,GUN,7
2011,3,13,0,78,MIDNIGHT,SEX ABUSE,GUN,5
2011,3,13,4,84,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,3,14,0,85,MIDNIGHT,HOMICIDE,GUN,3
2011,3,14,8,85,DAY,SEX ABUSE,OTHERS,3
2011,3,14,0,87,MIDNIGHT,HOMICIDE,GUN,5
2011,4,14,0,91,MIDNIGHT,HOMICIDE,OTHERS,4
2011,4,15,1,92,MIDNIGHT,SEX ABUSE,KNIFE,5
2011,4,15,0,96,MIDNIGHT,HOMICIDE,GUN,7
2011,4,15,0,96,MIDNIGHT,HOMICIDE,GUN,7
2011,4,15,0,96,MIDNIGHT,HOMICIDE,GUN,4
2011,4,15,0,97,MIDNIGHT,HOMICIDE,GUN,7
2011,4,15,0,97,MIDNIGHT,HOMICIDE,GUN,7
2011,4,15,0,98,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,4,16,0,99,MIDNIGHT,HOMICIDE,GUN,4
2011,4,16,19,102,EVENING,SEX ABUSE,OTHERS,4
2011,4,17,0,107,MIDNIGHT,HOMICIDE,KNIFE,6
2011,4,17,0,108,MIDNIGHT,HOMICIDE,GUN,3
2011,4,17,13,109,DAY,SEX ABUSE,OTHERS,6
2011,4,17,0,112,MIDNIGHT,SEX ABUSE,OTHERS,4
2011,4,18,0,113,MIDNIGHT,HOMICIDE,OTHERS,3
2011,4,18,16,113,EVENING,SEX ABUSE,OTHERS,2
2011,4,18,8,114,DAY,SEX ABUSE,OTHERS,1
2011,4,18,11,114,DAY,SEX ABUSE,OTHERS,5
2011,4,18,0,115,MIDNIGHT,HOMICIDE,OTHERS,6
2011,4,18,5,115,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,4,18,5,115,MIDNIGHT,SEX ABUSE,OTHERS,7
2011,4,18,7,115,DAY,SEX ABUSE,OTHERS,7
2011,5,19,17,120,EVENING,SEX ABUSE,OTHERS,5
2011,5,19,14,121,DAY,SEX ABUSE,OTHERS,1
2011,5,19,20,121,EVENING,SEX ABUSE,OTHERS,2
2011,5,19,0,122,MIDNIGHT,HOMICIDE,KNIFE,7
2011,5,19,16,122,EVENING,SEX ABUSE,OTHERS,3
2011,5,19,9,126,DAY,SEX ABUSE,OTHERS,1
2011,5,20,0,127,MIDNIGHT,HOMICIDE,GUN,5
2011,5,20,15,127,EVENING,SEX ABUSE,OTHERS,2
2011,5,20,5,130,MIDNIGHT,SEX ABUSE,OTHERS,1
2011,5,20,0,131,MIDNIGHT,HOMICIDE,GUN,6
2011,5,20,12,131,DAY,SEX ABUSE,OTHERS,1
2011,5,20,14,132,DAY,SEX ABUSE,OTHERS,1
2011,5,20,0,133,MIDNIGHT,HOMICIDE,GUN,5
2011,5,20,0,133,MIDNIGHT,HOMICIDE,GUN,6
2011,5,21,4,135,MIDNIGHT,SEX ABUSE,OTHERS,1
2011,5,21,0,136,MIDNIGHT,HOMICIDE,KNIFE,5
2011,5,21,21,137,EVENING,SEX ABUSE,OTHERS,7
2011,5,21,0,139,MIDNIGHT,HOMICIDE,KNIFE,7
2011,5,21,0,140,MIDNIGHT,HOMICIDE,GUN,2
2011,5,22,5,141,MIDNIGHT,SEX ABUSE,OTHERS,2
2011,5,22,8,141,DAY,SEX ABUSE,OTHERS,3
2011,5,22,8,143,DAY,SEX ABUSE,OTHERS,7
2011,5,22,0,144,MIDNIGHT,HOMICIDE,GUN,6
2011,5,22,3,144,MIDNIGHT,SEX ABUSE,OTHERS,5
2011,5,22,0,145,MIDNIGHT,HOMICIDE,GUN,6
2011,5,22,6,146,MIDNIGHT,SEX ABUSE,GUN,6
2011,5,23,0,148,MIDNIGHT,HOMICIDE,KNIFE,4
2011,5,23,0,149,MIDNIGHT,HOMICIDE,GUN,5
2011,5,23,0,150,MIDNIGHT,HOMICIDE,GUN,5
2011,5,23,12,150,DAY,SEX ABUSE,OTHERS,4
